2458842.50951019,0.99475337,0.00410451,120.00000000
2458842.51089909,1.00240739,0.00408693,120.00000000
2458842.51228800,0.99677960,0.00408381,120.00000000
2458842.51367690,0.99969169,0.00408093,120.00000000
2458842.51506581,0.99549265,0.00409075,120.00000000
2458842.51645471,0.99801018,0.00409482,120.00000000
2458842.51784362,1.00269284,0.00409150,120.00000000
2458842.51923253,1.00000816,0.00408727,120.00000000
2458842.52062143,0.99478478,0.00408825,120.00000000
2458842.52201034,1.00121791,0.00410657,120.00000000
2458842.52339924,0.99994880,0.00407977,120.00000000
2458842.52478815,0.99681780,0.00408438,120.00000000
2458842.53173268,0.99692318,0.00408243,120.00000000
2458842.53312158,1.00101917,0.00410403,120.00000000
2458842.53451049,1.00135430,0.00408276,120.00000000
2458842.53589939,1.00115056,0.00408807,120.00000000
2458842.53728830,1.00105204,0.00408946,120.00000000
2458842.53867720,1.00163628,0.00409817,120.00000000
2458842.54006611,0.99876320,0.00408591,120.00000000
2458842.54145502,0.99790973,0.00408251,120.00000000
2458842.54284392,0.99957936,0.00409172,120.00000000
2458842.54423283,0.99744758,0.00408886,120.00000000
2458842.54562173,1.00140638,0.00408740,120.00000000
2458842.54701064,1.00205288,0.00408536,120.00000000
2458842.54839954,1.00084467,0.00407905,120.00000000
2458842.54978845,1.00092914,0.00411334,120.00000000
2458842.55117736,1.00000832,0.00409581,120.00000000
2458842.55256626,1.00313965,0.00408950,120.00000000
2458842.55395517,1.00066475,0.00408314,120.00000000
2458842.55534407,1.00242434,0.00408728,120.00000000
2458842.55673298,0.99952429,0.00408742,120.00000000
2458842.55951079,1.00273742,0.00408669,120.00000000
2458842.56089969,1.00512761,0.00411107,120.00000000
2458842.56228860,0.99860920,0.00408447,120.00000000
2458842.56367751,1.00030476,0.00409325,120.00000000
2458842.56506641,0.99982622,0.00411541,120.00000000
2458842.56645532,0.99985158,0.00407947,120.00000000
2458842.56784422,1.00116404,0.00409504,120.00000000
2458842.56923313,0.99994137,0.00408835,120.00000000
2458842.57201094,0.99824937,0.00408971,120.00000000
2458842.57339984,1.00282108,0.00408716,120.00000000
2458842.57478875,0.99952671,0.00408485,120.00000000
2458842.57617765,1.00295085,0.00408153,120.00000000
2458842.57756656,1.00175337,0.00410184,120.00000000
2458842.57895547,1.00039843,0.00408922,120.00000000
2458842.58034437,1.00015609,0.00409532,120.00000000
2458842.58728890,1.00226340,0.00408555,120.00000000
2458842.58867780,1.00198715,0.00409797,120.00000000
2458842.59006671,1.00387102,0.00408760,120.00000000
2458842.59145561,1.00127758,0.00409626,120.00000000
2458842.59284452,0.99722212,0.00408358,120.00000000
2458842.59423343,1.00158719,0.00409061,120.00000000
2458842.59562233,1.00126135,0.00408676,120.00000000
2458842.59701124,0.99630639,0.00409726,120.00000000
2458842.59840014,1.00130165,0.00408051,120.00000000
2458842.59978905,1.00239931,0.00408002,120.00000000
2458842.60117795,0.99984689,0.00409089,120.00000000
2458842.60256686,1.00058602,0.00408320,120.00000000
2458842.60395576,1.00221528,0.00408808,120.00000000
2458842.60534467,1.00161125,0.00408461,120.00000000
2458842.60673357,1.00045746,0.00408352,120.00000000
2458842.60812248,1.00117906,0.00409314,120.00000000
2458842.60951138,0.99999459,0.00410311,120.00000000
2458842.61090029,1.00306762,0.00409924,120.00000000
2458842.61228919,0.99820682,0.00408871,120.00000000
2458842.61506701,0.99947164,0.00408738,120.00000000
2458842.61784482,1.00054968,0.00408398,120.00000000
2458842.61923372,1.00122873,0.00408242,120.00000000
2458842.62062263,0.99966682,0.00409231,120.00000000
2458842.62201153,1.00042799,0.00411716,120.00000000
2458842.62340044,0.99935051,0.00408719,120.00000000
2458842.62478934,0.99797667,0.00408584,120.00000000
2458842.62617825,1.00222868,0.00408666,120.00000000
2458842.62756715,1.00254539,0.00408805,120.00000000
2458842.63173387,1.00205926,0.00408134,120.00000000
2458842.63312277,1.00045278,0.00408922,120.00000000
2458842.63451168,1.00093600,0.00409123,120.00000000
2458842.63590058,1.00408219,0.00409454,120.00000000
2458842.63728949,0.99723755,0.00411863,120.00000000
2458842.63867839,1.00159058,0.00408094,120.00000000
2458842.64006730,1.00450379,0.00409141,120.00000000
2458842.64145620,0.99961933,0.00409360,120.00000000
2458842.64284511,0.99874123,0.00408934,120.00000000
2458842.64423401,1.00027625,0.00409830,120.00000000
2458842.64562292,1.00092437,0.00409390,120.00000000
2458842.64701182,0.99714775,0.00410029,120.00000000
2458842.64840073,0.99924949,0.00408574,120.00000000
2458842.65256744,1.00067073,0.00408411,120.00000000
2458842.65951197,1.00290829,0.00408136,120.00000000
2458842.66090088,0.99810604,0.00408045,120.00000000
2458842.66228978,1.00200217,0.00409467,120.00000000
